operatorname,stop_id,pointgeo,stop_name,route_long_name,latitude,longitude,nom_commune,plans
RATP,IDFM:22101,"[ 48.89181786646099, 2.2379881830988277 ]",La Défense (Grande Arche),1,48.89181786646099,2.2379881830988277,Puteaux,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463121,"[ 48.875667376599708, 2.2894354185422139 ]",Argentine,1,48.87566737659971,2.289435418542214,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22084,"[ 48.872037764589088, 2.3007597849789181 ]",George V,1,48.87203776458909,2.300759784978918,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22079,"[ 48.862222265574147, 2.3364543677542517 ]",Palais Royal - Musée du Louvre,1,48.86222226557415,2.3364543677542517,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22074,"[ 48.855187421604448, 2.3608852562751967 ]",Saint-Paul (Le Marais),1,48.85518742160445,2.3608852562751967,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463130,"[ 48.845491696267075, 2.4292278831660283 ]",Bérault,1,48.845491696267075,2.4292278831660283,Vincennes,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463040,"[ 48.846229347358928, 2.4189897063438073 ]",Saint-Mandé,1,48.84622934735893,2.4189897063438073,Saint-Mandé,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463294,"[ 48.847349827846116, 2.3858367760086865 ]",Reuilly - Diderot,1,48.84734982784612,2.3858367760086865,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463197,"[ 48.845759486713973, 2.3731250167766889 ]",Gare de Lyon,1,48.84575948671397,2.373125016776689,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22075,"[ 48.864550163577015, 2.3297453212172794 ]",Tuileries,1,48.864550163577015,2.3297453212172794,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463150,"[ 48.866557992949716, 2.3229614457982586 ]",Concorde,1,48.866557992949716,2.3229614457982586,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463185,"[ 48.872037764589088, 2.3007597849789181 ]",George V,1,48.87203776458909,2.300759784978918,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463217,"[ 48.881290837933577, 2.2719047622591289 ]",Les Sablons,1,48.88129083793358,2.271904762259129,Neuilly-sur-Seine,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22099,"[ 48.885489388974705, 2.2584954293691255 ]",Pont de Neuilly,1,48.885489388974705,2.2584954293691255,Neuilly-sur-Seine,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22102,"[ 48.888331738009462, 2.2499040727323307 ]",Esplanade de la Défense,1,48.88833173800946,2.2499040727323307,Courbevoie,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22100,"[ 48.881290837933577, 2.2719047622591289 ]",Les Sablons,1,48.88129083793358,2.271904762259129,Neuilly-sur-Seine,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463019,"[ 48.851964220112052, 2.368692796099789 ]",Bastille,1,48.85196422011205,2.368692796099789,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22083,"[ 48.845683206735799, 2.3731565937892047 ]",Gare de Lyon,1,48.8456832067358,2.3731565937892047,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22076,"[ 48.847234037658012, 2.386056169673362 ]",Reuilly - Diderot,1,48.84723403765801,2.386056169673362,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22080,"[ 48.848084289973976, 2.3958439887237373 ]",Nation,1,48.848084289973976,2.3958439887237373,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463012,"[ 48.847007731088631, 2.4108049967015006 ]",Porte de Vincennes,1,48.84700773108863,2.4108049967015006,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463307,"[ 48.855277816681337, 2.3609713728017505 ]",Saint-Paul (Le Marais),1,48.85527781668134,2.3609713728017505,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463227,"[ 48.862366755622624, 2.3365615741822432 ]",Palais Royal - Musée du Louvre,1,48.862366755622624,2.336561574182243,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
